,child_name,same_num_trials,annotator,manual_trial_onset,manual_trial_offset,manual_trial_ordinal,trial_length,lookit_onset,lookit_offset,lookit_trial_length,lookit_trial_length_diff,lookit_onset_diff,lookit_offset_diff
9,JYcJHJ,True,AW,412794.0,460053.0,15.0,47259.0,413684.0,458742.0,45058.0,-2201.0,890.0,-1311.0
10,JYcJHJ,True,AW,464708.0,495107.0,17.0,30399.0,463819.0,493652.00000000006,29833.00000000006,-565.9999999999418,-889.0,-1454.9999999999418
11,JYcJHJ,True,AW,495108.0,541101.0,18.0,45993.0,495935.00000000006,541003.0,45067.99999999994,-925.0000000000582,827.0000000000582,-98.0
0,McQWFL,True,AW,5508.0,38147.0,2.0,32639.0,6000.0,37017.0,31017.0,-1622.0,492.0,-1130.0
1,McQWFL,True,AW,38148.0,85985.0,3.0,47837.0,39733.00000000001,84825.0,45091.99999999999,-2745.0000000000073,1585.0000000000073,-1160.0
2,McQWFL,True,AW,89964.0,121073.0,5.0,31109.0,89979.0,119808.0,29829.0,-1280.0,15.0,-1265.0
3,McQWFL,True,AW,121074.0,171359.0,6.0,50285.0,122323.00000000001,167389.0,45065.999999999985,-5219.000000000015,1249.0000000000146,-3970.0
4,McQWFL,True,AW,179076.0,213247.0,8.0,34171.0,178395.0,210886.00000000003,32491.00000000003,-1679.999999999971,-681.0,-2360.999999999971
5,McQWFL,True,AW,213248.0,259827.0,9.0,46579.0,213519.0,258603.0,45084.0,-1495.0,271.0,-1224.0
6,McQWFL,True,AW,264452.0,303415.0,11.0,38963.0,263831.0,301800.0,37969.0,-994.0,-621.0,-1615.0
7,McQWFL,True,AW,303416.0,353837.0,12.0,50421.0,304353.0,349456.0,45103.0,-5318.0,937.0,-4381.0
8,McQWFL,True,AW,369892.0,400281.0,14.0,30389.0,368073.00000000006,399078.00000000006,31005.0,616.0,-1818.9999999999418,-1202.9999999999418
9,McQWFL,True,AW,400282.0,447983.0,15.0,47701.0,401618.00000000006,446681.00000000006,45063.0,-2638.0,1336.0000000000582,-1301.9999999999418
10,McQWFL,True,AW,452472.0,482969.0,17.0,30497.0,451775.00000000006,481586.0,29810.99999999994,-686.0000000000582,-696.9999999999418,-1383.0
11,McQWFL,True,AW,482970.0,529101.0,18.0,46131.0,483919.00000000006,528976.0,45056.99999999994,-1074.0000000000582,949.0000000000582,-125.0
0,KDTDKK,True,AW,6402.0,37817.0,2.0,31415.0,4978.000000000001,34760.00000000001,29782.000000000007,-1632.9999999999927,-1423.999999999999,-3056.9999999999927
1,KDTDKK,True,AW,37818.0,84611.0,3.0,46793.0,37050.00000000001,82092.0,45041.99999999999,-1751.0000000000073,-767.9999999999927,-2519.0
2,KDTDKK,True,AW,88902.0,127709.0,5.0,38807.0,86955.00000000001,124892.00000000001,37937.0,-870.0,-1946.9999999999854,-2816.9999999999854
3,KDTDKK,True,AW,127710.0,177209.0,6.0,49499.0,127077.00000000001,172108.0,45030.999999999985,-4468.000000000015,-632.9999999999854,-5101.0
4,KDTDKK,True,AW,185031.0,219614.0,8.0,34583.0,183150.0,214141.00000000003,30991.00000000003,-3591.999999999971,-1881.0,-5472.999999999971
