,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s)
195,ZCEHSD,,3,fam,barrier-jump,0.9601695717439144,5.205,11.427
196,ZCEHSD,,4,fam,barrier-jump,0.914574239681016,4.051,11.844
197,ZCEHSD,,5,fam,barrier-jump,0.9224097029932964,20.35,3.807
198,ZCEHSD,,6,fam,barrier-jump,0.8686961472638556,49.551,3.66
199,ZCEHSD,,7,testA,barrier-jump,0.8657947337895727,25.033,4.96
200,ZCEHSD,,8,testB,barrier-jump,0.766357201693663,7.995,4.0
201,ZCEHSD,,9,testA,barrier-jump,0.8661086581381547,39.792,5.313
202,ZCEHSD,,10,testB,barrier-jump,0.8845058387159405,10.911,2.501
203,cDLXH2,,1,fam,barrier-jump,0.920541259200052,58.892,0.858
204,cDLXH2,,2,fam,barrier-jump,0.9072810374728004,23.348,1.167
205,cDLXH2,,3,fam,barrier-jump,0.8744117810466225,27.267,8.588
206,cDLXH2,,4,fam,barrier-jump,0.9032621146158408,21.35,1.236
207,dKUKK6,,1,fam,barrier-jump,0.8988250281212394,16.565,6.834
208,dKUKK6,,2,fam,barrier-jump,0.8799615202458719,52.522,6.543
209,dKUKK6,,3,fam,barrier-jump,0.8662822899031575,35.447,16.499
210,dKUKK6,,4,fam,barrier-jump,0.8567243737771231,17.091,8.274
211,dKUKK6,,5,fam,barrier-jump,0.8616718780426752,6.447,6.569
212,dKUKK6,,6,fam,barrier-jump,0.8887380631798405,7.694,4.999
213,dKUKK6,,7,testB,barrier-jump,0.8087138286771228,7.341,5.311
214,dKUKK6,,8,testA,barrier-jump,0.8398545037968494,9.044,5.413
215,dKUKK6,,9,testB,barrier-jump,0.8432541319975269,16.409,5.287
216,dKUKK6,,10,testA,barrier-jump,0.8246656792205677,7.384,4.778
217,dKcS7S,,1,fam,barrier-jump,0.8018402380614795,58.175,0.881
218,dKcS7S,,2,fam,barrier-jump,0.8081387846481682,58.752,0.96
219,dKcS7S,,3,fam,barrier-jump,0.8336411785984796,51.6,6.626
220,dKcS7S,,4,fam,barrier-jump,0.8546174014282678,52.335,6.736
221,dKcS7S,,5,fam,barrier-jump,0.8527730819480173,35.455,12.559
222,dKcS7S,,6,fam,barrier-jump,0.8202124492611204,14.478,7.264
223,dKcS7S,,7,testA,barrier-jump,0.8417039951337197,13.408,10.191
224,dKcS7S,,8,testB,barrier-jump,0.725461981768878,4.217,11.169
225,dKcS7S,,9,testA,barrier-jump,0.8902469967005603,12.096,10.001
226,dKcS7S,,10,testB,barrier-jump,0.9085485835870108,10.335,8.623
